TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Entre um e dois anos;Nunca;28/02/1979;43;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Todo mes;02/12/1989;32;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;25/08/1972;49;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Toda semana;08/03/1981;41;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;17/10/1963;58;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;30/10/1978;43;FEMININO;SIM;SIM;Medio incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;09/02/1989;33;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;23/11/1979;42;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;09/09/1968;53;FEMININO;SIM;SIM;Fundamental incompleto;Amarela;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;22/04/1960;61;MASCULINO;SIM;SIM;Medio incompleto;Branca;Ate R$105.00;0;ENDERECO NAO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;02/11/1986;35;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;01/03/2022
Ate seis meses;Toda semana;14/12/1973;48;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;24/03/1985;36;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Quase nunca;30/06/1967;54;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;23/10/1950;71;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Quase nunca;13/02/1981;41;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Toda semana;24/02/1982;40;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;13/12/1972;49;MASCULINO;SIM;SIM;Sem instrucao;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
